,img1,img2,speed
19199,data/frames/train_thumb19200.jpg,data/frames/train_thumb19201.jpg,9.501452
19200,data/frames/train_thumb19201.jpg,data/frames/train_thumb19202.jpg,9.401934
19201,data/frames/train_thumb19202.jpg,data/frames/train_thumb19203.jpg,9.350328
19202,data/frames/train_thumb19203.jpg,data/frames/train_thumb19204.jpg,9.27392
19203,data/frames/train_thumb19204.jpg,data/frames/train_thumb19205.jpg,9.272311
19204,data/frames/train_thumb19205.jpg,data/frames/train_thumb19206.jpg,9.29909
19205,data/frames/train_thumb19206.jpg,data/frames/train_thumb19207.jpg,9.270453
19206,data/frames/train_thumb19207.jpg,data/frames/train_thumb19208.jpg,9.317105
19207,data/frames/train_thumb19208.jpg,data/frames/train_thumb19209.jpg,9.231715
19208,data/frames/train_thumb19209.jpg,data/frames/train_thumb19210.jpg,9.068023
19209,data/frames/train_thumb19210.jpg,data/frames/train_thumb19211.jpg,9.055952
19210,data/frames/train_thumb19211.jpg,data/frames/train_thumb19212.jpg,9.00534
19211,data/frames/train_thumb19212.jpg,data/frames/train_thumb19213.jpg,8.99902
19212,data/frames/train_thumb19213.jpg,data/frames/train_thumb19214.jpg,8.996812
19213,data/frames/train_thumb19214.jpg,data/frames/train_thumb19215.jpg,8.936684
19214,data/frames/train_thumb19215.jpg,data/frames/train_thumb19216.jpg,8.833607
19215,data/frames/train_thumb19216.jpg,data/frames/train_thumb19217.jpg,8.792003
19216,data/frames/train_thumb19217.jpg,data/frames/train_thumb19218.jpg,8.805711
19217,data/frames/train_thumb19218.jpg,data/frames/train_thumb19219.jpg,8.747082
19218,data/frames/train_thumb19219.jpg,data/frames/train_thumb19220.jpg,8.594998
19219,data/frames/train_thumb19220.jpg,data/frames/train_thumb19221.jpg,8.633775
19220,data/frames/train_thumb19221.jpg,data/frames/train_thumb19222.jpg,8.539343
19221,data/frames/train_thumb19222.jpg,data/frames/train_thumb19223.jpg,8.474303
19222,data/frames/train_thumb19223.jpg,data/frames/train_thumb19224.jpg,8.507109
19223,data/frames/train_thumb19224.jpg,data/frames/train_thumb19225.jpg,8.368306
19224,data/frames/train_thumb19225.jpg,data/frames/train_thumb19226.jpg,8.30819
19225,data/frames/train_thumb19226.jpg,data/frames/train_thumb19227.jpg,8.293306
19226,data/frames/train_thumb19227.jpg,data/frames/train_thumb19228.jpg,8.19204
19227,data/frames/train_thumb19228.jpg,data/frames/train_thumb19229.jpg,8.160293
19228,data/frames/train_thumb19229.jpg,data/frames/train_thumb19230.jpg,8.124603
19229,data/frames/train_thumb19230.jpg,data/frames/train_thumb19231.jpg,7.952551
19230,data/frames/train_thumb19231.jpg,data/frames/train_thumb19232.jpg,7.929707
19231,data/frames/train_thumb19232.jpg,data/frames/train_thumb19233.jpg,7.830161
19232,data/frames/train_thumb19233.jpg,data/frames/train_thumb19234.jpg,7.772973
19233,data/frames/train_thumb19234.jpg,data/frames/train_thumb19235.jpg,7.773981
19234,data/frames/train_thumb19235.jpg,data/frames/train_thumb19236.jpg,7.663719
19235,data/frames/train_thumb19236.jpg,data/frames/train_thumb19237.jpg,7.565887
19236,data/frames/train_thumb19237.jpg,data/frames/train_thumb19238.jpg,7.463698
19237,data/frames/train_thumb19238.jpg,data/frames/train_thumb19239.jpg,7.504691
19238,data/frames/train_thumb19239.jpg,data/frames/train_thumb19240.jpg,7.392999
19239,data/frames/train_thumb19240.jpg,data/frames/train_thumb19241.jpg,7.262749
19240,data/frames/train_thumb19241.jpg,data/frames/train_thumb19242.jpg,7.295794
19241,data/frames/train_thumb19242.jpg,data/frames/train_thumb19243.jpg,7.221492
19242,data/frames/train_thumb19243.jpg,data/frames/train_thumb19244.jpg,7.11982
19243,data/frames/train_thumb19244.jpg,data/frames/train_thumb19245.jpg,7.153711
19244,data/frames/train_thumb19245.jpg,data/frames/train_thumb19246.jpg,7.022638
19245,data/frames/train_thumb19246.jpg,data/frames/train_thumb19247.jpg,6.956937
19246,data/frames/train_thumb19247.jpg,data/frames/train_thumb19248.jpg,6.966328
19247,data/frames/train_thumb19248.jpg,data/frames/train_thumb19249.jpg,6.880541
19248,data/frames/train_thumb19249.jpg,data/frames/train_thumb19250.jpg,6.840018
19249,data/frames/train_thumb19250.jpg,data/frames/train_thumb19251.jpg,6.828337
19250,data/frames/train_thumb19251.jpg,data/frames/train_thumb19252.jpg,6.688142
19251,data/frames/train_thumb19252.jpg,data/frames/train_thumb19253.jpg,6.655421
19252,data/frames/train_thumb19253.jpg,data/frames/train_thumb19254.jpg,6.570755
19253,data/frames/train_thumb19254.jpg,data/frames/train_thumb19255.jpg,6.541809
19254,data/frames/train_thumb19255.jpg,data/frames/train_thumb19256.jpg,6.519407
19255,data/frames/train_thumb19256.jpg,data/frames/train_thumb19257.jpg,6.416352
19256,data/frames/train_thumb19257.jpg,data/frames/train_thumb19258.jpg,6.350763
19257,data/frames/train_thumb19258.jpg,data/frames/train_thumb19259.jpg,6.247625
19258,data/frames/train_thumb19259.jpg,data/frames/train_thumb19260.jpg,6.275277
19259,data/frames/train_thumb19260.jpg,data/frames/train_thumb19261.jpg,6.212703
19260,data/frames/train_thumb19261.jpg,data/frames/train_thumb19262.jpg,6.111203
19261,data/frames/train_thumb19262.jpg,data/frames/train_thumb19263.jpg,6.141296
19262,data/frames/train_thumb19263.jpg,data/frames/train_thumb19264.jpg,6.042498
19263,data/frames/train_thumb19264.jpg,data/frames/train_thumb19265.jpg,5.944653
19264,data/frames/train_thumb19265.jpg,data/frames/train_thumb19266.jpg,5.963979
19265,data/frames/train_thumb19266.jpg,data/frames/train_thumb19267.jpg,5.982842
19266,data/frames/train_thumb19267.jpg,data/frames/train_thumb19268.jpg,5.931645
19267,data/frames/train_thumb19268.jpg,data/frames/train_thumb19269.jpg,6.003359
19268,data/frames/train_thumb19269.jpg,data/frames/train_thumb19270.jpg,5.863377
19269,data/frames/train_thumb19270.jpg,data/frames/train_thumb19271.jpg,5.796593
19270,data/frames/train_thumb19271.jpg,data/frames/train_thumb19272.jpg,5.71917
19271,data/frames/train_thumb19272.jpg,data/frames/train_thumb19273.jpg,5.714136
19272,data/frames/train_thumb19273.jpg,data/frames/train_thumb19274.jpg,5.699199
19273,data/frames/train_thumb19274.jpg,data/frames/train_thumb19275.jpg,5.612443
19274,data/frames/train_thumb19275.jpg,data/frames/train_thumb19276.jpg,5.582148
19275,data/frames/train_thumb19276.jpg,data/frames/train_thumb19277.jpg,5.552758
19276,data/frames/train_thumb19277.jpg,data/frames/train_thumb19278.jpg,5.50051
19277,data/frames/train_thumb19278.jpg,data/frames/train_thumb19279.jpg,5.488973
19278,data/frames/train_thumb19279.jpg,data/frames/train_thumb19280.jpg,5.463822
19279,data/frames/train_thumb19280.jpg,data/frames/train_thumb19281.jpg,5.465823
19280,data/frames/train_thumb19281.jpg,data/frames/train_thumb19282.jpg,5.461534
19281,data/frames/train_thumb19282.jpg,data/frames/train_thumb19283.jpg,5.417866
19282,data/frames/train_thumb19283.jpg,data/frames/train_thumb19284.jpg,5.425486
19283,data/frames/train_thumb19284.jpg,data/frames/train_thumb19285.jpg,5.366533
19284,data/frames/train_thumb19285.jpg,data/frames/train_thumb19286.jpg,5.292235
19285,data/frames/train_thumb19286.jpg,data/frames/train_thumb19287.jpg,5.291869
19286,data/frames/train_thumb19287.jpg,data/frames/train_thumb19288.jpg,5.267745
19287,data/frames/train_thumb19288.jpg,data/frames/train_thumb19289.jpg,5.22987
19288,data/frames/train_thumb19289.jpg,data/frames/train_thumb19290.jpg,5.249481
19289,data/frames/train_thumb19290.jpg,data/frames/train_thumb19291.jpg,5.198039
19290,data/frames/train_thumb19291.jpg,data/frames/train_thumb19292.jpg,5.141882
19291,data/frames/train_thumb19292.jpg,data/frames/train_thumb19293.jpg,5.082063
19292,data/frames/train_thumb19293.jpg,data/frames/train_thumb19294.jpg,5.086897
19293,data/frames/train_thumb19294.jpg,data/frames/train_thumb19295.jpg,5.066707
19294,data/frames/train_thumb19295.jpg,data/frames/train_thumb19296.jpg,5.031182
19295,data/frames/train_thumb19296.jpg,data/frames/train_thumb19297.jpg,5.028405
19296,data/frames/train_thumb19297.jpg,data/frames/train_thumb19298.jpg,4.985363
19297,data/frames/train_thumb19298.jpg,data/frames/train_thumb19299.jpg,4.942929
19298,data/frames/train_thumb19299.jpg,data/frames/train_thumb19300.jpg,4.936565
19299,data/frames/train_thumb19300.jpg,data/frames/train_thumb19301.jpg,4.864124
19300,data/frames/train_thumb19301.jpg,data/frames/train_thumb19302.jpg,4.858761
19301,data/frames/train_thumb19302.jpg,data/frames/train_thumb19303.jpg,4.835022
19302,data/frames/train_thumb19303.jpg,data/frames/train_thumb19304.jpg,4.797398
19303,data/frames/train_thumb19304.jpg,data/frames/train_thumb19305.jpg,4.785212
19304,data/frames/train_thumb19305.jpg,data/frames/train_thumb19306.jpg,4.766401
19305,data/frames/train_thumb19306.jpg,data/frames/train_thumb19307.jpg,4.691981
19306,data/frames/train_thumb19307.jpg,data/frames/train_thumb19308.jpg,4.695114
19307,data/frames/train_thumb19308.jpg,data/frames/train_thumb19309.jpg,4.635301
19308,data/frames/train_thumb19309.jpg,data/frames/train_thumb19310.jpg,4.606741
19309,data/frames/train_thumb19310.jpg,data/frames/train_thumb19311.jpg,4.610011
19310,data/frames/train_thumb19311.jpg,data/frames/train_thumb19312.jpg,4.5792
19311,data/frames/train_thumb19312.jpg,data/frames/train_thumb19313.jpg,4.547963
19312,data/frames/train_thumb19313.jpg,data/frames/train_thumb19314.jpg,4.481224
19313,data/frames/train_thumb19314.jpg,data/frames/train_thumb19315.jpg,4.495888
19314,data/frames/train_thumb19315.jpg,data/frames/train_thumb19316.jpg,4.439204
19315,data/frames/train_thumb19316.jpg,data/frames/train_thumb19317.jpg,4.367567
19316,data/frames/train_thumb19317.jpg,data/frames/train_thumb19318.jpg,4.370251
19317,data/frames/train_thumb19318.jpg,data/frames/train_thumb19319.jpg,4.338935
19318,data/frames/train_thumb19319.jpg,data/frames/train_thumb19320.jpg,4.311651
19319,data/frames/train_thumb19320.jpg,data/frames/train_thumb19321.jpg,4.316595
19320,data/frames/train_thumb19321.jpg,data/frames/train_thumb19322.jpg,4.264617
19321,data/frames/train_thumb19322.jpg,data/frames/train_thumb19323.jpg,4.233353
19322,data/frames/train_thumb19323.jpg,data/frames/train_thumb19324.jpg,4.22456
19323,data/frames/train_thumb19324.jpg,data/frames/train_thumb19325.jpg,4.134129
19324,data/frames/train_thumb19325.jpg,data/frames/train_thumb19326.jpg,4.119869
19325,data/frames/train_thumb19326.jpg,data/frames/train_thumb19327.jpg,4.104953
19326,data/frames/train_thumb19327.jpg,data/frames/train_thumb19328.jpg,4.058948
19327,data/frames/train_thumb19328.jpg,data/frames/train_thumb19329.jpg,4.055893
19328,data/frames/train_thumb19329.jpg,data/frames/train_thumb19330.jpg,4.01599
19329,data/frames/train_thumb19330.jpg,data/frames/train_thumb19331.jpg,3.982905
19330,data/frames/train_thumb19331.jpg,data/frames/train_thumb19332.jpg,3.993915
19331,data/frames/train_thumb19332.jpg,data/frames/train_thumb19333.jpg,3.951497
19332,data/frames/train_thumb19333.jpg,data/frames/train_thumb19334.jpg,3.896783
19333,data/frames/train_thumb19334.jpg,data/frames/train_thumb19335.jpg,3.837184
19334,data/frames/train_thumb19335.jpg,data/frames/train_thumb19336.jpg,3.852659
19335,data/frames/train_thumb19336.jpg,data/frames/train_thumb19337.jpg,3.799633
19336,data/frames/train_thumb19337.jpg,data/frames/train_thumb19338.jpg,3.737335
19337,data/frames/train_thumb19338.jpg,data/frames/train_thumb19339.jpg,3.754292
19338,data/frames/train_thumb19339.jpg,data/frames/train_thumb19340.jpg,3.708063
19339,data/frames/train_thumb19340.jpg,data/frames/train_thumb19341.jpg,3.668677
19340,data/frames/train_thumb19341.jpg,data/frames/train_thumb19342.jpg,3.676063
19341,data/frames/train_thumb19342.jpg,data/frames/train_thumb19343.jpg,3.621201
19342,data/frames/train_thumb19343.jpg,data/frames/train_thumb19344.jpg,3.584433
19343,data/frames/train_thumb19344.jpg,data/frames/train_thumb19345.jpg,3.586249
19344,data/frames/train_thumb19345.jpg,data/frames/train_thumb19346.jpg,3.517481
19345,data/frames/train_thumb19346.jpg,data/frames/train_thumb19347.jpg,3.487327
19346,data/frames/train_thumb19347.jpg,data/frames/train_thumb19348.jpg,3.48579
19347,data/frames/train_thumb19348.jpg,data/frames/train_thumb19349.jpg,3.433576
19348,data/frames/train_thumb19349.jpg,data/frames/train_thumb19350.jpg,3.4059
19349,data/frames/train_thumb19350.jpg,data/frames/train_thumb19351.jpg,3.3558
19350,data/frames/train_thumb19351.jpg,data/frames/train_thumb19352.jpg,3.340064
19351,data/frames/train_thumb19352.jpg,data/frames/train_thumb19353.jpg,3.324362
19352,data/frames/train_thumb19353.jpg,data/frames/train_thumb19354.jpg,3.23908
19353,data/frames/train_thumb19354.jpg,data/frames/train_thumb19355.jpg,3.21078
19354,data/frames/train_thumb19355.jpg,data/frames/train_thumb19356.jpg,3.18865
19355,data/frames/train_thumb19356.jpg,data/frames/train_thumb19357.jpg,3.185079
19356,data/frames/train_thumb19357.jpg,data/frames/train_thumb19358.jpg,3.203006
19357,data/frames/train_thumb19358.jpg,data/frames/train_thumb19359.jpg,3.181993
19358,data/frames/train_thumb19359.jpg,data/frames/train_thumb19360.jpg,3.188901
19359,data/frames/train_thumb19360.jpg,data/frames/train_thumb19361.jpg,3.170098
19360,data/frames/train_thumb19361.jpg,data/frames/train_thumb19362.jpg,3.116002
19361,data/frames/train_thumb19362.jpg,data/frames/train_thumb19363.jpg,3.153113
19362,data/frames/train_thumb19363.jpg,data/frames/train_thumb19364.jpg,2.991839
19363,data/frames/train_thumb19364.jpg,data/frames/train_thumb19365.jpg,2.939679
19364,data/frames/train_thumb19365.jpg,data/frames/train_thumb19366.jpg,2.941633
19365,data/frames/train_thumb19366.jpg,data/frames/train_thumb19367.jpg,2.944324
19366,data/frames/train_thumb19367.jpg,data/frames/train_thumb19368.jpg,2.92642
19367,data/frames/train_thumb19368.jpg,data/frames/train_thumb19369.jpg,2.907331
19368,data/frames/train_thumb19369.jpg,data/frames/train_thumb19370.jpg,2.90973
19369,data/frames/train_thumb19370.jpg,data/frames/train_thumb19371.jpg,2.90633
19370,data/frames/train_thumb19371.jpg,data/frames/train_thumb19372.jpg,2.903396
19371,data/frames/train_thumb19372.jpg,data/frames/train_thumb19373.jpg,2.902176
19372,data/frames/train_thumb19373.jpg,data/frames/train_thumb19374.jpg,2.885863
19373,data/frames/train_thumb19374.jpg,data/frames/train_thumb19375.jpg,2.856938
19374,data/frames/train_thumb19375.jpg,data/frames/train_thumb19376.jpg,2.855661
19375,data/frames/train_thumb19376.jpg,data/frames/train_thumb19377.jpg,2.861893
19376,data/frames/train_thumb19377.jpg,data/frames/train_thumb19378.jpg,2.866707
19377,data/frames/train_thumb19378.jpg,data/frames/train_thumb19379.jpg,2.874273
19378,data/frames/train_thumb19379.jpg,data/frames/train_thumb19380.jpg,2.873002
19379,data/frames/train_thumb19380.jpg,data/frames/train_thumb19381.jpg,2.878665
19380,data/frames/train_thumb19381.jpg,data/frames/train_thumb19382.jpg,2.875405
19381,data/frames/train_thumb19382.jpg,data/frames/train_thumb19383.jpg,2.879104
19382,data/frames/train_thumb19383.jpg,data/frames/train_thumb19384.jpg,2.880924
19383,data/frames/train_thumb19384.jpg,data/frames/train_thumb19385.jpg,2.886316
19384,data/frames/train_thumb19385.jpg,data/frames/train_thumb19386.jpg,2.896276
19385,data/frames/train_thumb19386.jpg,data/frames/train_thumb19387.jpg,2.893827
19386,data/frames/train_thumb19387.jpg,data/frames/train_thumb19388.jpg,2.905312
19387,data/frames/train_thumb19388.jpg,data/frames/train_thumb19389.jpg,2.916458
19388,data/frames/train_thumb19389.jpg,data/frames/train_thumb19390.jpg,2.938746
19389,data/frames/train_thumb19390.jpg,data/frames/train_thumb19391.jpg,2.931031
19390,data/frames/train_thumb19391.jpg,data/frames/train_thumb19392.jpg,2.940129
19391,data/frames/train_thumb19392.jpg,data/frames/train_thumb19393.jpg,2.933238
19392,data/frames/train_thumb19393.jpg,data/frames/train_thumb19394.jpg,2.932869
19393,data/frames/train_thumb19394.jpg,data/frames/train_thumb19395.jpg,2.87269
19394,data/frames/train_thumb19395.jpg,data/frames/train_thumb19396.jpg,2.836645
19395,data/frames/train_thumb19396.jpg,data/frames/train_thumb19397.jpg,2.839426
19396,data/frames/train_thumb19397.jpg,data/frames/train_thumb19398.jpg,2.83409
19397,data/frames/train_thumb19398.jpg,data/frames/train_thumb19399.jpg,2.826338
19398,data/frames/train_thumb19399.jpg,data/frames/train_thumb19400.jpg,2.8254
19399,data/frames/train_thumb19400.jpg,data/frames/train_thumb19401.jpg,2.824891
19400,data/frames/train_thumb19401.jpg,data/frames/train_thumb19402.jpg,2.824817
19401,data/frames/train_thumb19402.jpg,data/frames/train_thumb19403.jpg,2.82407
19402,data/frames/train_thumb19403.jpg,data/frames/train_thumb19404.jpg,2.746833
19403,data/frames/train_thumb19404.jpg,data/frames/train_thumb19405.jpg,2.732857
19404,data/frames/train_thumb19405.jpg,data/frames/train_thumb19406.jpg,2.663779
19405,data/frames/train_thumb19406.jpg,data/frames/train_thumb19407.jpg,2.645068
19406,data/frames/train_thumb19407.jpg,data/frames/train_thumb19408.jpg,2.644388
19407,data/frames/train_thumb19408.jpg,data/frames/train_thumb19409.jpg,2.612737
19408,data/frames/train_thumb19409.jpg,data/frames/train_thumb19410.jpg,2.567553
19409,data/frames/train_thumb19410.jpg,data/frames/train_thumb19411.jpg,2.518731
19410,data/frames/train_thumb19411.jpg,data/frames/train_thumb19412.jpg,2.53532
