,img1,img2,speed
14400,data/frames/train_thumb14401.jpg,data/frames/train_thumb14402.jpg,4.545352
1396,data/frames/train_thumb01397.jpg,data/frames/train_thumb01398.jpg,14.52604
1680,data/frames/train_thumb01681.jpg,data/frames/train_thumb01682.jpg,18.600541
18405,data/frames/train_thumb18406.jpg,data/frames/train_thumb18407.jpg,11.617492
6129,data/frames/train_thumb06130.jpg,data/frames/train_thumb06131.jpg,12.245733
5026,data/frames/train_thumb05027.jpg,data/frames/train_thumb05028.jpg,22.216286
10538,data/frames/train_thumb10539.jpg,data/frames/train_thumb10540.jpg,5.91117
8817,data/frames/train_thumb08818.jpg,data/frames/train_thumb08819.jpg,10.535101
5623,data/frames/train_thumb05624.jpg,data/frames/train_thumb05625.jpg,24.322209
11475,data/frames/train_thumb11476.jpg,data/frames/train_thumb11477.jpg,3.270988
2078,data/frames/train_thumb02079.jpg,data/frames/train_thumb02080.jpg,22.796638
11956,data/frames/train_thumb11957.jpg,data/frames/train_thumb11958.jpg,7.15878
8974,data/frames/train_thumb08975.jpg,data/frames/train_thumb08976.jpg,9.25413
5877,data/frames/train_thumb05878.jpg,data/frames/train_thumb05879.jpg,17.677923
3690,data/frames/train_thumb03691.jpg,data/frames/train_thumb03692.jpg,22.180293
8872,data/frames/train_thumb08873.jpg,data/frames/train_thumb08874.jpg,9.69775
6411,data/frames/train_thumb06412.jpg,data/frames/train_thumb06413.jpg,14.554684
19040,data/frames/train_thumb19041.jpg,data/frames/train_thumb19042.jpg,6.922433
632,data/frames/train_thumb00633.jpg,data/frames/train_thumb00634.jpg,17.389369
14000,data/frames/train_thumb14001.jpg,data/frames/train_thumb14002.jpg,6.322487
14705,data/frames/train_thumb14706.jpg,data/frames/train_thumb14707.jpg,0.935015
6262,data/frames/train_thumb06263.jpg,data/frames/train_thumb06264.jpg,12.330681
1746,data/frames/train_thumb01747.jpg,data/frames/train_thumb01748.jpg,19.261576
9594,data/frames/train_thumb09595.jpg,data/frames/train_thumb09596.jpg,8.527884
16324,data/frames/train_thumb16325.jpg,data/frames/train_thumb16326.jpg,9.52575
15195,data/frames/train_thumb15196.jpg,data/frames/train_thumb15197.jpg,12.492663
2393,data/frames/train_thumb02394.jpg,data/frames/train_thumb02395.jpg,24.101578
12634,data/frames/train_thumb12635.jpg,data/frames/train_thumb12636.jpg,10.429564
2024,data/frames/train_thumb02025.jpg,data/frames/train_thumb02026.jpg,23.177836
5356,data/frames/train_thumb05357.jpg,data/frames/train_thumb05358.jpg,24.340854
4211,data/frames/train_thumb04212.jpg,data/frames/train_thumb04213.jpg,22.067061
8957,data/frames/train_thumb08958.jpg,data/frames/train_thumb08959.jpg,9.68001
17713,data/frames/train_thumb17714.jpg,data/frames/train_thumb17715.jpg,11.34555
576,data/frames/train_thumb00577.jpg,data/frames/train_thumb00578.jpg,17.319426
7929,data/frames/train_thumb07930.jpg,data/frames/train_thumb07931.jpg,23.469985
14313,data/frames/train_thumb14314.jpg,data/frames/train_thumb14315.jpg,5.282637
12215,data/frames/train_thumb12216.jpg,data/frames/train_thumb12217.jpg,5.422055
2299,data/frames/train_thumb02300.jpg,data/frames/train_thumb02301.jpg,24.679384
12472,data/frames/train_thumb12473.jpg,data/frames/train_thumb12474.jpg,8.663272
16532,data/frames/train_thumb16533.jpg,data/frames/train_thumb16534.jpg,3.522134
16953,data/frames/train_thumb16954.jpg,data/frames/train_thumb16955.jpg,1.847903
11175,data/frames/train_thumb11176.jpg,data/frames/train_thumb11177.jpg,7.555392
8865,data/frames/train_thumb08866.jpg,data/frames/train_thumb08867.jpg,9.633435
7331,data/frames/train_thumb07332.jpg,data/frames/train_thumb07333.jpg,18.981128
8214,data/frames/train_thumb08215.jpg,data/frames/train_thumb08216.jpg,25.893383
3967,data/frames/train_thumb03968.jpg,data/frames/train_thumb03969.jpg,21.558288
12539,data/frames/train_thumb12540.jpg,data/frames/train_thumb12541.jpg,10.597225
1745,data/frames/train_thumb01746.jpg,data/frames/train_thumb01747.jpg,19.249295
7525,data/frames/train_thumb07526.jpg,data/frames/train_thumb07527.jpg,23.482539
1838,data/frames/train_thumb01839.jpg,data/frames/train_thumb01840.jpg,21.562465
5467,data/frames/train_thumb05468.jpg,data/frames/train_thumb05469.jpg,23.60656
1819,data/frames/train_thumb01820.jpg,data/frames/train_thumb01821.jpg,20.327859
7776,data/frames/train_thumb07777.jpg,data/frames/train_thumb07778.jpg,24.581017
18688,data/frames/train_thumb18689.jpg,data/frames/train_thumb18690.jpg,0.0
15050,data/frames/train_thumb15051.jpg,data/frames/train_thumb15052.jpg,14.231296
5411,data/frames/train_thumb05412.jpg,data/frames/train_thumb05413.jpg,24.36995
17888,data/frames/train_thumb17889.jpg,data/frames/train_thumb17890.jpg,1.248358
583,data/frames/train_thumb00584.jpg,data/frames/train_thumb00585.jpg,17.345175
13710,data/frames/train_thumb13711.jpg,data/frames/train_thumb13712.jpg,8.603773
465,data/frames/train_thumb00466.jpg,data/frames/train_thumb00467.jpg,15.963043
18955,data/frames/train_thumb18956.jpg,data/frames/train_thumb18957.jpg,4.866336
3304,data/frames/train_thumb03305.jpg,data/frames/train_thumb03306.jpg,21.908528
7827,data/frames/train_thumb07828.jpg,data/frames/train_thumb07829.jpg,24.418135
14201,data/frames/train_thumb14202.jpg,data/frames/train_thumb14203.jpg,4.137957
12636,data/frames/train_thumb12637.jpg,data/frames/train_thumb12638.jpg,10.424776
7224,data/frames/train_thumb07225.jpg,data/frames/train_thumb07226.jpg,21.274619
11336,data/frames/train_thumb11337.jpg,data/frames/train_thumb11338.jpg,5.127456
5346,data/frames/train_thumb05347.jpg,data/frames/train_thumb05348.jpg,24.28602
13662,data/frames/train_thumb13663.jpg,data/frames/train_thumb13664.jpg,5.813193
3550,data/frames/train_thumb03551.jpg,data/frames/train_thumb03552.jpg,22.193338
6696,data/frames/train_thumb06697.jpg,data/frames/train_thumb06698.jpg,18.321335
4176,data/frames/train_thumb04177.jpg,data/frames/train_thumb04178.jpg,21.773389
7600,data/frames/train_thumb07601.jpg,data/frames/train_thumb07602.jpg,24.747403
10776,data/frames/train_thumb10777.jpg,data/frames/train_thumb10778.jpg,7.515792
